n_paragraphs,n_sections,FRE,title_len,art_len,0,1,2,3,4,5,6,7,8,9,2017,2018,2019,2020,2021,2022,top5,top10
9,5,55.07,39,2384,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
23,1,62.27,15,3472,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
19,1,32.57,41,3719,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
6,1,71.24,67,2640,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
9,1,47.52,56,4029,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
14,1,44.17,61,5974,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
13,1,35.81,29,6784,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
35,5,56.18,41,10115,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
8,1,51.78,32,3208,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
20,1,37.0,21,7247,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
5,1,53.55,30,649,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
8,1,53.92,85,4430,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
14,1,68.5,12,6392,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
16,1,26.1,22,6505,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
25,4,67.69,38,9010,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
13,2,63.39,47,4432,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
14,1,66.17,54,7452,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
28,3,61.46,78,7260,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
13,1,65.83,21,4153,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
11,3,44.24,61,2712,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
5,1,43.7,74,5745,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
42,1,65.93,38,4837,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
82,23,52.6,28,17884,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
20,1,63.8,25,3728,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
17,1,62.38,49,2437,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
30,10,61.77,26,8299,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
55,2,44.34,50,11708,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
8,1,51.41,43,8583,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
8,1,38.25,35,2641,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
9,1,70.33,45,2370,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
27,1,45.15,100,9788,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
86,1,60.01,34,10571,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
19,3,69.72,84,3143,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
14,1,59.43,88,5588,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
10,1,55.24,61,2508,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
26,1,51.28,16,3680,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,1.0
21,3,62.48,27,4862,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
12,1,50.57,60,3409,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
21,6,68.4,66,8555,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,2.0
14,1,66.17,47,4817,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
59,1,66.64,53,6279,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
18,1,60.14,40,3752,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
13,5,72.46,27,3648,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
7,1,63.02,45,3186,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
22,3,44.95,26,5837,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
23,1,31.41,46,9233,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
22,9,49.65,70,9177,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
23,1,80.48,21,1715,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
31,5,44.88,59,10549,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
46,1,42.31,28,13513,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
26,2,43.09,27,5146,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
18,8,59.6,48,5116,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
7,1,63.63,32,5365,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
7,1,60.69,110,4819,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
11,1,76.42,26,4792,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
16,1,50.09,29,5049,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
7,1,55.84,31,771,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
14,1,61.06,61,4527,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
22,1,47.08,63,4882,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
21,1,60.14,42,4574,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
140,10,72.76,57,12059,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
4,1,56.86,34,652,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
10,1,61.5,16,2262,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
16,5,61.16,58,4405,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
15,1,33.55,36,1615,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
43,17,67.08,46,10569,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
45,11,61.97,51,5857,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
23,1,80.31,15,3850,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
37,7,53.55,53,6354,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
32,1,32.03,81,1660,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
12,1,60.75,38,4982,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
